,name,bigg_id,gene_reaction_rule,genes,metabolites
0,Phosphoglycerate kinase,PGK,b2926,"[{'bigg_id': 'b2926', 'name': 'pgk'}]","[{'coefficient': -1, 'bigg_id': '3pg_c'}, {'coefficient': 1, 'bigg_id': '13dpg_c'}, {'coefficient': -1, 'bigg_id': 'atp_c'}, {'coefficient': 1, 'bigg_id': 'adp_c'}]"
1,Phosphogluconate dehydrogenase,GND,b2029,"[{'bigg_id': 'b2029', 'name': 'gnd'}]","[{'coefficient': 1, 'bigg_id': 'ru5p__D_c'}, {'coefficient': 1, 'bigg_id': 'nadph_c'}, {'coefficient': 1, 'bigg_id': 'co2_c'}, {'coefficient': -1, 'bigg_id': 'nadp_c'}, {'coefficient': -1, 'bigg_id': '6pgc_c'}]"
2,Isocitrate dehydrogenase (NADP),ICDHyr,b1136,"[{'bigg_id': 'b1136', 'name': 'icd'}]","[{'coefficient': 1, 'bigg_id': 'nadph_c'}, {'coefficient': 1, 'bigg_id': 'akg_c'}, {'coefficient': 1, 'bigg_id': 'co2_c'}, {'coefficient': -1, 'bigg_id': 'nadp_c'}, {'coefficient': -1, 'bigg_id': 'icit_c'}]"
3,Fructose-bisphosphatase,FBP,b3925 or b4232,"[{'bigg_id': 'b4232', 'name': 'fbp'}, {'bigg_id': 'b3925', 'name': 'glpX'}]","[{'coefficient': -1, 'bigg_id': 'fdp_c'}, {'coefficient': -1, 'bigg_id': 'h2o_c'}, {'coefficient': 1, 'bigg_id': 'pi_c'}, {'coefficient': 1, 'bigg_id': 'f6p_c'}]"
4,Pyruvate kinase,PYK,b1854 or b1676,"[{'bigg_id': 'b1854', 'name': 'pykA'}, {'bigg_id': 'b1676', 'name': 'pykF'}]","[{'coefficient': -1, 'bigg_id': 'pep_c'}, {'coefficient': -1, 'bigg_id': 'adp_c'}, {'coefficient': 1, 'bigg_id': 'pyr_c'}, {'coefficient': 1, 'bigg_id': 'atp_c'}, {'coefficient': -1, 'bigg_id': 'h_c'}]"
5,Phosphofructokinase,PFK,b3916 or b1723,"[{'bigg_id': 'b1723', 'name': 'pfkB'}, {'bigg_id': 'b3916', 'name': 'pfkA'}]","[{'coefficient': 1, 'bigg_id': 'h_c'}, {'coefficient': 1, 'bigg_id': 'adp_c'}, {'coefficient': -1, 'bigg_id': 'f6p_c'}, {'coefficient': -1, 'bigg_id': 'atp_c'}, {'coefficient': 1, 'bigg_id': 'fdp_c'}]"
6,Phosphoenolpyruvate carboxykinase,PPCK,b3403,"[{'bigg_id': 'b3403', 'name': 'pck'}]","[{'coefficient': 1, 'bigg_id': 'pep_c'}, {'coefficient': -1, 'bigg_id': 'atp_c'}, {'coefficient': -1, 'bigg_id': 'oaa_c'}, {'coefficient': 1, 'bigg_id': 'co2_c'}, {'coefficient': 1, 'bigg_id': 'adp_c'}]"
7,Phosphotransacetylase,PTAr,b2297 or b2458,"[{'bigg_id': 'b2297', 'name': 'pta'}, {'bigg_id': 'b2458', 'name': 'eutD'}]","[{'coefficient': -1, 'bigg_id': 'accoa_c'}, {'coefficient': 1, 'bigg_id': 'actp_c'}, {'coefficient': -1, 'bigg_id': 'pi_c'}, {'coefficient': 1, 'bigg_id': 'coa_c'}]"
8,Malic enzyme (NAD),ME1,b1479,"[{'bigg_id': 'b1479', 'name': 'maeA'}]","[{'coefficient': -1, 'bigg_id': 'mal__L_c'}, {'coefficient': 1, 'bigg_id': 'pyr_c'}, {'coefficient': 1, 'bigg_id': 'co2_c'}, {'coefficient': -1, 'bigg_id': 'nad_c'}, {'coefficient': 1, 'bigg_id': 'nadh_c'}]"
9,Acetate kinase,ACKr,b3115 or b2296 or b1849,"[{'bigg_id': 'b2296', 'name': 'ackA'}, {'bigg_id': 'b3115', 'name': 'tdcD'}, {'bigg_id': 'b1849', 'name': 'purT'}]","[{'coefficient': 1, 'bigg_id': 'adp_c'}, {'coefficient': -1, 'bigg_id': 'ac_c'}, {'coefficient': 1, 'bigg_id': 'actp_c'}, {'coefficient': -1, 'bigg_id': 'atp_c'}]"
10,Fumarate transport via proton symport  2 H ,FUMt2_2,b3528,"[{'bigg_id': 'b3528', 'name': 'dctA'}]","[{'coefficient': 1, 'bigg_id': 'fum_c'}, {'coefficient': 2, 'bigg_id': 'h_c'}, {'coefficient': -1, 'bigg_id': 'fum_e'}, {'coefficient': -2, 'bigg_id': 'h_e'}]"
11,Succinate transport out via proton antiport,SUCCt3,,[],"[{'coefficient': -1, 'bigg_id': 'succ_c'}, {'coefficient': 1, 'bigg_id': 'succ_e'}, {'coefficient': 1, 'bigg_id': 'h_c'}, {'coefficient': -1, 'bigg_id': 'h_e'}]"
12,Glyceraldehyde-3-phosphate dehydrogenase,GAPD,b1779,"[{'bigg_id': 'b1779', 'name': 'gapA'}]","[{'coefficient': 1, 'bigg_id': '13dpg_c'}, {'coefficient': -1, 'bigg_id': 'g3p_c'}, {'coefficient': 1, 'bigg_id': 'nadh_c'}, {'coefficient': 1, 'bigg_id': 'h_c'}, {'coefficient': -1, 'bigg_id': 'nad_c'}, {'coefficient': -1, 'bigg_id': 'pi_c'}]"
13,Succinate transport via proton symport  2 H ,SUCCt2_2,b3528,"[{'bigg_id': 'b3528', 'name': 'dctA'}]","[{'coefficient': 1, 'bigg_id': 'succ_c'}, {'coefficient': -1, 'bigg_id': 'succ_e'}, {'coefficient': 2, 'bigg_id': 'h_c'}, {'coefficient': -2, 'bigg_id': 'h_e'}]"
