,name,bigg_id,metabolites
0,rxn12008,rxn12008_c,"[{'coefficient': -1.0, 'bigg_id': 'ipdp_c'}, {'coefficient': -1.0, 'bigg_id': 'hepdp_c'}, {'coefficient': 1.0, 'bigg_id': 'octdp_c'}, {'coefficient': 1.0, 'bigg_id': 'ppi_c'}]"
1,L-Threonine acetaldehyde-lyase,rxn00541_c,"[{'coefficient': -1.0, 'bigg_id': 'thr__L_c'}, {'coefficient': 1.0, 'bigg_id': 'acald_c'}, {'coefficient': 1.0, 'bigg_id': 'gly_c'}]"
2,ATP acetate phosphotransferase,rxn00225_c,"[{'coefficient': -1.0, 'bigg_id': 'actp_c'}, {'coefficient': -1.0, 'bigg_id': 'adp_c'}, {'coefficient': 1.0, 'bigg_id': 'h_c'}, {'coefficient': 1.0, 'bigg_id': 'atp_c'}, {'coefficient': 1.0, 'bigg_id': 'ac_c'}]"
3,dCTP uridine 5-phosphotransferase,rxn01674_c,"[{'coefficient': -1.0, 'bigg_id': 'uri_c'}, {'coefficient': -1.0, 'bigg_id': 'dctp_c'}, {'coefficient': 1.0, 'bigg_id': 'ump_c'}, {'coefficient': 1.0, 'bigg_id': 'dcdp_c'}]"
4,anteisoheptadecanoyl-1-acylglycerol-3-phosphate O-acyltransferase,rxn10215_c,"[{'coefficient': -1.0, 'bigg_id': 'cpd15672_c'}, {'coefficient': -1.0, 'bigg_id': 'fa12coa_c'}, {'coefficient': 1.0, 'bigg_id': 'cpd15678_c'}, {'coefficient': 1.0, 'bigg_id': 'coa_c'}]"
5,N-L-Argininosuccinate arginie-lyase,rxn00802_c,"[{'coefficient': -1.0, 'bigg_id': 'argsuc_c'}, {'coefficient': 1.0, 'bigg_id': 'fum_c'}, {'coefficient': 1.0, 'bigg_id': 'arg__L_c'}]"
6,Acetyl-CoA D-glucosamine-1-phosphate N-acetyltransferase,rxn03638_c,"[{'coefficient': -1.0, 'bigg_id': 'gam1p_c'}, {'coefficient': -1.0, 'bigg_id': 'accoa_c'}, {'coefficient': 1.0, 'bigg_id': 'h_c'}, {'coefficient': 1.0, 'bigg_id': 'coa_c'}, {'coefficient': 1.0, 'bigg_id': 'acgam1p_c'}]"
7,O-Acetyl-L-homoserine acetate-lyase adding methanethiol,rxn06078_c,"[{'coefficient': -1.0, 'bigg_id': 'achms_c'}, {'coefficient': -1.0, 'bigg_id': 'tsul_c'}, {'coefficient': -1.0, 'bigg_id': 'trdrd_c'}, {'coefficient': 1.0, 'bigg_id': 'ac_c'}, {'coefficient': 1.0, 'bigg_id': 'trdox_c'}, {'coefficient': 1.0, 'bigg_id': 'hcys__L_c'}, {'coefficient': 1.0, 'bigg_id': 'so3_c'}]"
8,Butanoyl-CoA acceptor 2 3-oxidoreductase,rxn00868_c,"[{'coefficient': -1.0, 'bigg_id': 'h_c'}, {'coefficient': -1.0, 'bigg_id': 'b2coa_c'}, {'coefficient': -1.0, 'bigg_id': 'nadh_c'}, {'coefficient': 1.0, 'bigg_id': 'nad_c'}, {'coefficient': 1.0, 'bigg_id': 'btcoa_c'}]"
9,dTTP alpha-D-glucose-1-phosphate thymidylyltransferase,rxn01675_c,"[{'coefficient': -1.0, 'bigg_id': 'dttp_c'}, {'coefficient': -1.0, 'bigg_id': 'g1p_c'}, {'coefficient': 1.0, 'bigg_id': 'ppi_c'}, {'coefficient': 1.0, 'bigg_id': 'dtdpglu_c'}]"
